Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
GPT/ALT (U/l)†,Sex: Male (vs Female),0.155,0.048,"[0.061, 0.249]",0.0013,0.0038,☆☆,270
Insulin (mIU/l)†,Sex: Male (vs Female),0.208,0.067,"[0.077, 0.34]",0.0020,0.0053,☆☆,270
Serum Glucose (mg/dl),Sex: Male (vs Female),5.25,2.118,"[1.079, 9.42]",0.0138,0.0331,☆,270
GOT/AST (U/l)†,Sex: Male (vs Female),0.105,0.044,"[0.019, 0.191]",0.0175,0.0381,☆,270
Total Cholesterol (mg/dl),Sex: Male (vs Female),-11.106,5.075,"[-21.093, -1.119]",0.0294,0.0588,ns,270
Lymphocytes abs. (Tsd./µl)†,Sex: Male (vs Female),-0.068,0.033,"[-0.133, -0.003]",0.0415,0.0765,ns,270
Gamma-GT (U/l),Sex: Male (vs Female),3.661,1.854,"[0.013, 7.309]",0.0492,0.0843,ns,269
ESR (mm/h)†,Sex: Male (vs Female),-0.142,0.093,"[-0.325, 0.04]",0.1265,0.1897,ns,268
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.06,0.039,"[-0.017, 0.137]",0.1254,0.1897,ns,270
Alkaline Phosphatase (U/l),Sex: Male (vs Female),-2.813,2.152,"[-7.047, 1.421]",0.1921,0.2711,ns,270
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),0.028,0.028,"[-0.027, 0.082]",0.3193,0.4257,ns,270
Eosinophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.069,0.075,"[-0.079, 0.216]",0.3603,0.4551,ns,270
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.035,0.052,"[-0.067, 0.137]",0.4974,0.5969,ns,264
CRP (mg/l)†,Sex: Male (vs Female),-0.061,0.124,"[-0.306, 0.184]",0.6244,0.7136,ns,270
Non-HDL Cholesterol (mg/dl),Sex: Male (vs Female),1.967,4.998,"[-7.869, 11.804]",0.6941,0.7572,ns,270
LDL-C (mg/dl),Sex: Male (vs Female),-1.348,4.915,"[-11.021, 8.325]",0.7841,0.8182,ns,270
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.007,0.057,"[-0.12, 0.106]",0.8973,0.8973,ns,270
Platelets (Tsd./µl)†,Intercept,5.572,0.019,"[5.535, 5.61]",0.00e+00,0.00e+00,☆☆☆,270
Triglycerides (mg/dl)†,Intercept,4.624,0.026,"[4.573, 4.675]",0.00e+00,0.00e+00,☆☆☆,270
Immature Granulocytes abs. (Tsd./µl)†,Intercept,-4.156,0.037,"[-4.228, -4.084]",1.91e-296,1.53e-295,☆☆☆,264
GOT/AST (U/l)†,Intercept,2.988,0.029,"[2.93, 3.046]",1.52e-267,9.13e-267,☆☆☆,270
GPT/ALT (U/l)†,Intercept,3.22,0.031,"[3.158, 3.281]",1.84e-259,8.83e-259,☆☆☆,270
