Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
GPT/ALT (U/l)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.1819,0.3324,ns,275
Gamma-GT (U/l),"Age (years), centered",0.04,0.026,"[-0.011, 0.091]",0.1249,0.3324,ns,274
HDL-C (mg/dl),"Age (years), centered",0.032,0.022,"[-0.011, 0.075]",0.1477,0.3324,ns,275
Insulin (mIU/l)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.003]",0.1939,0.3324,ns,272
Neutrophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.1289,0.3324,ns,275
White Blood Cells (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.1562,0.3324,ns,275
Platelets (Tsd./µl)†,"Age (years), centered",0,0,"[0, 0.001]",0.2664,0.3996,ns,275
Total Cholesterol (mg/dl),"Age (years), centered",0.08,0.071,"[-0.06, 0.22]",0.2619,0.3996,ns,275
ESR (mm/h)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.004]",0.2846,0.4018,ns,273
Eosinophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.003]",0.3839,0.5119,ns,275
Uric Acid (mg/dl),"Age (years), centered",0.002,0.002,"[-0.003, 0.006]",0.4611,0.5825,ns,275
Non-HDL Cholesterol (mg/dl),"Age (years), centered",0.048,0.069,"[-0.089, 0.185]",0.4931,0.5917,ns,275
Triglycerides (mg/dl)†,"Age (years), centered",0,0.001,"[-0.001, 0.001]",0.7434,0.8496,ns,275
Basophils abs. (Tsd./µl)†,"Age (years), centered",0,0.001,"[-0.001, 0.002]",0.8987,0.9212,ns,275
LDL-C (mg/dl),"Age (years), centered",0.013,0.069,"[-0.122, 0.148]",0.8521,0.9212,ns,275
Lymphocytes abs. (Tsd./µl)†,"Age (years), centered",-0,0,"[-0.001, 0.001]",0.9212,0.9212,ns,275
Uric Acid (mg/dl),Sex: Male (vs Female),2.23,0.165,"[1.906, 2.554]",1.65e-32,3.96e-31,☆☆☆,275
Ferritin (µg/l)†,Sex: Male (vs Female),0.687,0.08,"[0.53, 0.845]",3.67e-16,4.40e-15,☆☆☆,275
HDL-C (mg/dl),Sex: Male (vs Female),-12.812,1.558,"[-15.877, -9.747]",5.71e-15,4.57e-14,☆☆☆,275
Triglycerides (mg/dl)†,Sex: Male (vs Female),0.163,0.037,"[0.09, 0.236]",1.70e-05,1.02e-04,☆☆☆,275
Monocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.131,0.031,"[0.069, 0.192]",3.81e-05,1.83e-04,☆☆☆,275
GFR (ml/min),Sex: Male (vs Female),-6.421,1.589,"[-9.546, -3.295]",6.69e-05,2.68e-04,☆☆☆,275
Platelets (Tsd./µl)†,Sex: Male (vs Female),-0.119,0.03,"[-0.178, -0.061]",7.83e-05,2.68e-04,☆☆☆,275
GPT/ALT (U/l)†,Sex: Male (vs Female),0.148,0.047,"[0.055, 0.241]",0.0019,0.0056,☆☆,275
Insulin (mIU/l)†,Sex: Male (vs Female),0.204,0.066,"[0.073, 0.334]",0.0023,0.0061,☆☆,272
GOT/AST (U/l)†,Sex: Male (vs Female),0.1,0.043,"[0.015, 0.185]",0.0213,0.0512,ns,275
Serum Glucose (mg/dl),Sex: Male (vs Female),4.778,2.117,"[0.612, 8.944]",0.0248,0.0540,ns,275
Lymphocytes abs. (Tsd./µl)†,Sex: Male (vs Female),-0.072,0.033,"[-0.137, -0.008]",0.0286,0.0572,ns,275
Gamma-GT (U/l),Sex: Male (vs Female),3.899,1.826,"[0.307, 7.492]",0.0335,0.0618,ns,274
Total Cholesterol (mg/dl),Sex: Male (vs Female),-10.133,5.088,"[-20.146, -0.12]",0.0473,0.0812,ns,275
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.066,0.039,"[-0.01, 0.143]",0.0898,0.1436,ns,275
ESR (mm/h)†,Sex: Male (vs Female),-0.136,0.093,"[-0.318, 0.046]",0.1429,0.2143,ns,273
Alkaline Phosphatase (U/l),Sex: Male (vs Female),-2.719,2.122,"[-6.894, 1.455]",0.2009,0.2837,ns,275
