Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Basophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.003]",0.0210,0.1681,ns,247
Platelets (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.0151,0.1681,ns,257
ESR (mm/h)†,"Age (years), centered",-0.002,0.001,"[-0.004, 0]",0.0887,0.3029,ns,253
GOT/AST (U/l)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.0933,0.3029,ns,256
Monocytes abs. (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.002]",0.0694,0.3029,ns,254
Non-HDL Cholesterol (mg/dl),"Age (years), centered",0.087,0.053,"[-0.017, 0.19]",0.1010,0.3029,ns,259
White Blood Cells (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.0834,0.3029,ns,257
Total Cholesterol (mg/dl),"Age (years), centered",0.076,0.052,"[-0.026, 0.178]",0.1448,0.3676,ns,259
Triglycerides (mg/dl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.1532,0.3676,ns,259
GFR (ml/min),"Age (years), centered",-0.019,0.014,"[-0.047, 0.009]",0.1830,0.3757,ns,259
LDL-C (mg/dl),"Age (years), centered",0.071,0.054,"[-0.035, 0.178]",0.1879,0.3757,ns,259
CRP (mg/l)†,"Age (years), centered",-0.002,0.002,"[-0.005, 0.001]",0.2102,0.3881,ns,259
Neutrophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.2521,0.4322,ns,249
Lymphocytes abs. (Tsd./µl)†,"Age (years), centered",0,0,"[0, 0.001]",0.2712,0.4339,ns,254
Alkaline Phosphatase (U/l),"Age (years), centered",0.016,0.016,"[-0.016, 0.048]",0.3151,0.4571,ns,259
GPT/ALT (U/l)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.002]",0.3238,0.4571,ns,258
Eosinophils abs. (Tsd./µl)†,"Age (years), centered",0,0.001,"[-0.001, 0.002]",0.5536,0.6043,ns,252
Ferritin (µg/l)†,"Age (years), centered",0,0.001,"[-0.001, 0.001]",0.4899,0.6043,ns,259
Gamma-GT (U/l),"Age (years), centered",0.009,0.014,"[-0.019, 0.037]",0.5346,0.6043,ns,258
HDL-C (mg/dl),"Age (years), centered",-0.008,0.012,"[-0.033, 0.016]",0.5126,0.6043,ns,259
Uric Acid (mg/dl),"Age (years), centered",0.002,0.003,"[-0.004, 0.008]",0.5539,0.6043,ns,259
Serum Glucose (mg/dl),"Age (years), centered",0.018,0.032,"[-0.046, 0.081]",0.5853,0.6107,ns,259
Insulin (mIU/l)†,"Age (years), centered",0.001,0.001,"[-0.002, 0.003]",0.6153,0.6153,ns,259
Uric Acid (mg/dl),Sex: Male (vs Female),1.467,0.272,"[0.93, 2.003]",1.64e-07,3.95e-06,☆☆☆,259
GFR (ml/min),Sex: Male (vs Female),-2.792,1.074,"[-4.907, -0.676]",0.0099,0.0994,ns,259
Insulin (mIU/l)†,Sex: Male (vs Female),0.242,0.097,"[0.051, 0.432]",0.0132,0.0994,ns,259
Lymphocytes abs. (Tsd./µl)†,Sex: Male (vs Female),-0.074,0.031,"[-0.134, -0.014]",0.0166,0.0994,ns,254
Ferritin (µg/l)†,Sex: Male (vs Female),0.089,0.043,"[0.004, 0.175]",0.0407,0.1627,ns,259
Non-HDL Cholesterol (mg/dl),Sex: Male (vs Female),-8.22,3.948,"[-15.996, -0.445]",0.0383,0.1627,ns,259
ESR (mm/h)†,Sex: Male (vs Female),0.154,0.08,"[-0.003, 0.312]",0.0552,0.1657,ns,253
Eosinophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.116,0.059,"[0.001, 0.232]",0.0485,0.1657,ns,252
Total Cholesterol (mg/dl),Sex: Male (vs Female),-6.646,3.897,"[-14.32, 1.029]",0.0894,0.2383,ns,259
GPT/ALT (U/l)†,Sex: Male (vs Female),-0.064,0.045,"[-0.152, 0.025]",0.1583,0.3488,ns,258
Serum Glucose (mg/dl),Sex: Male (vs Female),3.415,2.422,"[-1.356, 8.186]",0.1599,0.3488,ns,259
CRP (mg/l)†,Sex: Male (vs Female),-0.137,0.115,"[-0.363, 0.09]",0.2357,0.4438,ns,259
Gamma-GT (U/l),Sex: Male (vs Female),-1.251,1.063,"[-3.343, 0.842]",0.2404,0.4438,ns,258
Triglycerides (mg/dl)†,Sex: Male (vs Female),-0.03,0.034,"[-0.096, 0.037]",0.3812,0.6535,ns,259
LDL-C (mg/dl),Sex: Male (vs Female),-3.254,4.049,"[-11.228, 4.72]",0.4223,0.6757,ns,259
Monocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.024,0.034,"[-0.043, 0.09]",0.4812,0.7218,ns,254
GOT/AST (U/l)†,Sex: Male (vs Female),0.024,0.045,"[-0.064, 0.113]",0.5926,0.8020,ns,256
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),-0.015,0.028,"[-0.07, 0.041]",0.6015,0.8020,ns,257
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.021,0.045,"[-0.068, 0.11]",0.6436,0.8130,ns,247
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.022,0.056,"[-0.088, 0.132]",0.6963,0.8356,ns,212
HDL-C (mg/dl),Sex: Male (vs Female),0.292,1.053,"[-1.781, 2.365]",0.7815,0.8598,ns,259
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.011,0.043,"[-0.096, 0.073]",0.7882,0.8598,ns,249
Alkaline Phosphatase (U/l),Sex: Male (vs Female),0.174,1.22,"[-2.229, 2.576]",0.8869,0.9195,ns,259
Platelets (Tsd./µl)†,Sex: Male (vs Female),0.002,0.02,"[-0.038, 0.042]",0.9195,0.9195,ns,257
