Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Alkaline Phosphatase (U/l),Sex: Male (vs Female),-3.693,2.531,"[-8.679, 1.293]",0.1459,0.2334,ns,235
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.067,0.046,"[-0.023, 0.158]",0.1430,0.2334,ns,233
Gamma-GT (U/l),Sex: Male (vs Female),2.62,2.063,"[-1.445, 6.685]",0.2053,0.3080,ns,234
Triglycerides (mg/dl)†,Sex: Male (vs Female),0.038,0.034,"[-0.029, 0.106]",0.2655,0.3748,ns,235
CRP (mg/l)†,Sex: Male (vs Female),-0.146,0.146,"[-0.433, 0.142]",0.3192,0.4256,ns,235
ESR (mm/h)†,Sex: Male (vs Female),0.084,0.098,"[-0.11, 0.278]",0.3956,0.4316,ns,235
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.045,0.051,"[-0.056, 0.145]",0.3810,0.4316,ns,225
Non-HDL Cholesterol (mg/dl),Sex: Male (vs Female),-4.814,5.551,"[-15.752, 6.124]",0.3868,0.4316,ns,235
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),0.029,0.032,"[-0.034, 0.091]",0.3655,0.4316,ns,235
LDL-C (mg/dl),Sex: Male (vs Female),-4.208,5.446,"[-14.939, 6.523]",0.4405,0.4597,ns,235
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.012,0.066,"[-0.142, 0.118]",0.8544,0.8544,ns,235
Triglycerides (mg/dl)†,Intercept,4.562,0.022,"[4.518, 4.606]",7.99e-304,1.92e-302,☆☆☆,235
Platelets (Tsd./µl)†,Intercept,5.54,0.022,"[5.498, 5.583]",3.07e-301,3.69e-300,☆☆☆,235
Immature Granulocytes abs. (Tsd./µl)†,Intercept,-4.31,0.035,"[-4.379, -4.241]",4.31e-265,3.45e-264,☆☆☆,225
GOT/AST (U/l)†,Intercept,3.396,0.033,"[3.331, 3.461]",1.32e-208,7.91e-208,☆☆☆,235
White Blood Cells (Tsd./µl)†,Intercept,1.636,0.021,"[1.595, 1.676]",1.39e-197,6.69e-197,☆☆☆,235
GPT/ALT (U/l)†,Intercept,3.517,0.037,"[3.443, 3.59]",1.12e-195,4.49e-195,☆☆☆,235
Ferritin (µg/l)†,Intercept,5.176,0.056,"[5.066, 5.286]",2.63e-186,9.00e-186,☆☆☆,235
Basophils abs. (Tsd./µl)†,Intercept,-3.217,0.042,"[-3.3, -3.134]",8.58e-182,2.57e-181,☆☆☆,235
GFR (ml/min),Intercept,89.734,1.118,"[87.533, 91.936]",5.19e-179,1.39e-178,☆☆☆,235
Serum Glucose (mg/dl),Intercept,80.579,1.438,"[77.75, 83.408]",4.47e-169,1.07e-168,☆☆☆,235
HDL-C (mg/dl),Intercept,54.897,0.997,"[52.933, 56.862]",3.92e-137,8.54e-137,☆☆☆,235
Total Cholesterol (mg/dl),Intercept,187.333,3.476,"[180.486, 194.181]",2.80e-136,5.59e-136,☆☆☆,235
Uric Acid (mg/dl),Intercept,7.295,0.152,"[6.995, 7.595]",6.00e-133,1.11e-132,☆☆☆,235
