Phase,Outcome,Predictor,Term,Estimate,95% CI,P (raw),P (FDR),n_subjects,n_obs
fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,Age,0,"[0, 0.001]",0.22492,0.31413,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,BMI (baseline),0.006,"[0.003, 0.01]",0.00037,0.00096,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,Baseline outcome (T0),0.51,"[0.429, 0.591]",5.3e-28,1.1e-27,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,Fasting duration,-0.002,"[-0.006, 0.002]",0.27480,0.27480,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,Sex: Male,0.006,"[-0.026, 0.038]",0.71334,0.95853,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),logHOMA_T0,"log(HOMA-IR) (T0), z",0.008,"[-0.009, 0.025]",0.38250,0.38250,256,256
fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,"AIP (T0), z",-0.002,"[-0.185, 0.18]",0.97946,0.97946,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,Age,0.002,"[-0.002, 0.006]",0.24349,0.31413,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,BMI (baseline),0.03,"[-0.002, 0.063]",0.06478,0.08329,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,Baseline outcome (T0),0.614,"[0.475, 0.754]",6.8e-16,7.1e-16,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,Fasting duration,-0.055,"[-0.09, -0.02]",0.00204,0.00577,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),AIP_T0,Sex: Male,-0.042,"[-0.369, 0.286]",0.80267,0.95853,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,Age,0.002,"[-0.002, 0.006]",0.24432,0.31413,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,BMI (baseline),0.029,"[-0.003, 0.06]",0.07396,0.08875,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,Baseline outcome (T0),0.609,"[0.47, 0.749]",9.1e-16,9.1e-16,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,Fasting duration,-0.056,"[-0.091, -0.021]",0.00189,0.00577,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,Sex: Male,-0.058,"[-0.364, 0.249]",0.71170,0.95853,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),TyG_T0,"TyG (T0), z",0.027,"[-0.136, 0.191]",0.74052,0.74052,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,Age,0.003,"[-0.001, 0.006]",0.20038,0.31413,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,BMI (baseline),0.038,"[0.006, 0.07]",0.02080,0.03404,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,Baseline outcome (T0),0.638,"[0.496, 0.779]",1.6e-16,1.7e-16,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,Fasting duration,-0.054,"[-0.089, -0.019]",0.00252,0.00577,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,Sex: Male,-0.018,"[-0.314, 0.279]",0.90528,0.95853,251,251
fasting_T0T1,Neutrophils abs. (Tsd./µl),logHOMA_T0,"log(HOMA-IR) (T0), z",-0.105,"[-0.27, 0.061]",0.21422,0.32133,251,251
fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,"AIP (T0), z",0.059,"[-0.14, 0.259]",0.55669,0.83504,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,Age,0.004,"[-0.001, 0.008]",0.08920,0.30370,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,BMI (baseline),0.037,"[0.002, 0.072]",0.03814,0.05280,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,Baseline outcome (T0),0.626,"[0.512, 0.74]",1.3e-22,1.6e-22,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,Fasting duration,-0.057,"[-0.095, -0.02]",0.00274,0.00577,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),AIP_T0,Sex: Male,-0.15,"[-0.503, 0.203]",0.40460,0.77823,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,Age,0.004,"[-0.001, 0.008]",0.09961,0.30370,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,BMI (baseline),0.038,"[0.004, 0.072]",0.03036,0.04554,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,Baseline outcome (T0),0.626,"[0.512, 0.74]",1.1e-22,1.4e-22,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,Fasting duration,-0.058,"[-0.096, -0.021]",0.00255,0.00577,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,Sex: Male,-0.132,"[-0.463, 0.199]",0.43235,0.77823,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),TyG_T0,"TyG (T0), z",0.056,"[-0.123, 0.234]",0.54017,0.64821,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,Age,0.004,"[0, 0.008]",0.07954,0.30370,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,BMI (baseline),0.048,"[0.013, 0.083]",0.00767,0.01381,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,Baseline outcome (T0),0.649,"[0.534, 0.764]",1.5e-23,2.0e-23,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,Fasting duration,-0.056,"[-0.093, -0.019]",0.00353,0.00577,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,Sex: Male,-0.082,"[-0.403, 0.24]",0.61599,0.95853,259,259
fasting_T0T1,White Blood Cells (Tsd./µl),logHOMA_T0,"log(HOMA-IR) (T0), z",-0.089,"[-0.268, 0.091]",0.33124,0.38250,259,259
