Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Platelets (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.031,0.018,"[-0.005, 0.067]",0.0892,0.4280,ns,219
Basophils abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.083,0.055,"[-0.191, 0.026]",0.1346,0.4340,ns,213
Ferritin (µg/l)†,Diet: Keto (vs Non-Keto),-0.033,0.022,"[-0.077, 0.011]",0.1447,0.4340,ns,223
Triglycerides (mg/dl)†,Diet: Keto (vs Non-Keto),0.047,0.029,"[-0.011, 0.105]",0.1111,0.4340,ns,223
LDL-C (mg/dl),Diet: Keto (vs Non-Keto),2.385,2.038,"[-1.632, 6.402]",0.2432,0.6486,ns,223
Non-HDL Cholesterol (mg/dl),Diet: Keto (vs Non-Keto),2.291,2.097,"[-1.841, 6.424]",0.2757,0.6616,ns,223
ESR (mm/h)†,Diet: Keto (vs Non-Keto),-0.075,0.076,"[-0.226, 0.075]",0.3248,0.6911,ns,219
Total Cholesterol (mg/dl),Diet: Keto (vs Non-Keto),2.131,2.254,"[-2.312, 6.574]",0.3455,0.6911,ns,223
Neutrophils abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.041,0.047,"[-0.053, 0.134]",0.3900,0.7200,ns,208
Immature Granulocytes abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.05,0.068,"[-0.185, 0.085]",0.4660,0.7989,ns,167
Lymphocytes abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.016,0.029,"[-0.074, 0.042]",0.5977,0.9155,ns,219
Serum Glucose (mg/dl),Diet: Keto (vs Non-Keto),-1.29,2.528,"[-6.273, 3.693]",0.6103,0.9155,ns,223
White Blood Cells (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.012,0.029,"[-0.07, 0.046]",0.6814,0.9619,ns,219
Eosinophils abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.009,0.063,"[-0.115, 0.134]",0.8812,0.9932,ns,217
GOT/AST (U/l)†,Diet: Keto (vs Non-Keto),0,0.033,"[-0.065, 0.065]",0.9932,0.9932,ns,221
GPT/ALT (U/l)†,Diet: Keto (vs Non-Keto),0.005,0.03,"[-0.054, 0.064]",0.8664,0.9932,ns,223
Gamma-GT (U/l),Diet: Keto (vs Non-Keto),-0.074,0.547,"[-1.152, 1.004]",0.8924,0.9932,ns,222
HDL-C (mg/dl),Diet: Keto (vs Non-Keto),-0.014,0.546,"[-1.091, 1.063]",0.9797,0.9932,ns,223
Insulin (mIU/l)†,Diet: Keto (vs Non-Keto),0.032,0.113,"[-0.191, 0.254]",0.7782,0.9932,ns,223
Monocytes abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.001,0.037,"[-0.074, 0.073]",0.9870,0.9932,ns,219
Insulin (mIU/l)†,"Baseline BMI (kg/m²), centered",0.026,0.01,"[0.008, 0.045]",0.0064,0.0764,ns,223
Serum Glucose (mg/dl),"Baseline BMI (kg/m²), centered",0.606,0.204,"[0.203, 1.009]",0.0034,0.0764,ns,223
Uric Acid (mg/dl),"Baseline BMI (kg/m²), centered",0.042,0.016,"[0.01, 0.073]",0.0098,0.0783,ns,223
ESR (mm/h)†,"Baseline BMI (kg/m²), centered",0.017,0.007,"[0.003, 0.03]",0.0137,0.0824,ns,219
HDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.109,0.051,"[-0.21, -0.009]",0.0329,0.1581,ns,223
Ferritin (µg/l)†,"Baseline BMI (kg/m²), centered",0.004,0.002,"[0, 0.007]",0.0574,0.2297,ns,223
Triglycerides (mg/dl)†,"Baseline BMI (kg/m²), centered",0.004,0.002,"[-0.001, 0.009]",0.1133,0.3885,ns,223
Alkaline Phosphatase (U/l),"Baseline BMI (kg/m²), centered",0.071,0.065,"[-0.058, 0.2]",0.2801,0.5603,ns,223
CRP (mg/l)†,"Baseline BMI (kg/m²), centered",0.01,0.008,"[-0.007, 0.027]",0.2359,0.5603,ns,223
Neutrophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.005,0.004,"[-0.003, 0.013]",0.1881,0.5603,ns,208
Total Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.227,0.187,"[-0.595, 0.142]",0.2268,0.5603,ns,223
White Blood Cells (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.003,0.003,"[-0.002, 0.008]",0.2572,0.5603,ns,219
GOT/AST (U/l)†,"Baseline BMI (kg/m²), centered",-0.003,0.003,"[-0.008, 0.003]",0.3259,0.6017,ns,221
GFR (ml/min),"Baseline BMI (kg/m²), centered",0.058,0.077,"[-0.094, 0.211]",0.4495,0.7706,ns,223
Monocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.002,0.003,"[-0.004, 0.009]",0.4882,0.7811,ns,219
Immature Granulocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.003,0.005,"[-0.007, 0.013]",0.5562,0.8040,ns,167
Platelets (Tsd./µl)†,"Baseline BMI (kg/m²), centered",-0.001,0.002,"[-0.004, 0.002]",0.5695,0.8040,ns,219
Eosinophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.002,0.005,"[-0.009, 0.012]",0.7648,0.9661,ns,217
LDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.053,0.165,"[-0.378, 0.272]",0.7470,0.9661,ns,223
Basophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0,0.004,"[-0.009, 0.009]",0.9794,0.9794,ns,213
GPT/ALT (U/l)†,"Baseline BMI (kg/m²), centered",-0.001,0.003,"[-0.006, 0.005]",0.8202,0.9794,ns,223
Gamma-GT (U/l),"Baseline BMI (kg/m²), centered",0.003,0.047,"[-0.089, 0.095]",0.9443,0.9794,ns,222
Lymphocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0,0.002,"[-0.005, 0.005]",0.9484,0.9794,ns,219
Non-HDL Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.022,0.17,"[-0.357, 0.313]",0.8978,0.9794,ns,223
Ferritin (µg/l)†,"Refeeding duration (days), centered",-0.063,0.007,"[-0.076, -0.05]",1.90e-18,4.57e-17,☆☆☆,223
Uric Acid (mg/dl),"Refeeding duration (days), centered",-0.395,0.054,"[-0.501, -0.289]",4.06e-12,4.87e-11,☆☆☆,223
HDL-C (mg/dl),"Refeeding duration (days), centered",0.559,0.159,"[0.245, 0.873]",5.42e-04,0.0043,☆☆,223
CRP (mg/l)†,"Refeeding duration (days), centered",-0.072,0.027,"[-0.126, -0.018]",0.0088,0.0422,☆,223
Neutrophils abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.041,0.015,"[-0.071, -0.011]",0.0082,0.0422,☆,208
GOT/AST (U/l)†,"Refeeding duration (days), centered",-0.024,0.01,"[-0.043, -0.005]",0.0134,0.0536,ns,221
GFR (ml/min),"Refeeding duration (days), centered",0.652,0.278,"[0.104, 1.2]",0.0199,0.0597,ns,223
Serum Glucose (mg/dl),"Refeeding duration (days), centered",1.744,0.728,"[0.309, 3.18]",0.0175,0.0597,ns,223
Insulin (mIU/l)†,"Refeeding duration (days), centered",0.074,0.033,"[0.01, 0.138]",0.0246,0.0630,ns,223
White Blood Cells (Tsd./µl)†,"Refeeding duration (days), centered",-0.02,0.009,"[-0.038, -0.002]",0.0262,0.0630,ns,219
Gamma-GT (U/l),"Refeeding duration (days), centered",-0.33,0.159,"[-0.643, -0.018]",0.0385,0.0839,ns,222
Triglycerides (mg/dl)†,"Refeeding duration (days), centered",0.016,0.008,"[-0.001, 0.032]",0.0633,0.1266,ns,223
Platelets (Tsd./µl)†,"Refeeding duration (days), centered",-0.01,0.006,"[-0.021, 0.001]",0.0817,0.1509,ns,219
Alkaline Phosphatase (U/l),"Refeeding duration (days), centered",-0.388,0.227,"[-0.835, 0.059]",0.0889,0.1524,ns,223
Immature Granulocytes abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.029,0.022,"[-0.073, 0.014]",0.1819,0.2910,ns,167
Monocytes abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.014,0.011,"[-0.037, 0.008]",0.2040,0.3060,ns,219
GPT/ALT (U/l)†,"Refeeding duration (days), centered",-0.01,0.009,"[-0.028, 0.007]",0.2317,0.3272,ns,223
Basophils abs. (Tsd./µl)†,"Refeeding duration (days), centered",0.018,0.017,"[-0.016, 0.052]",0.3053,0.4071,ns,213
Non-HDL Cholesterol (mg/dl),"Refeeding duration (days), centered",-0.459,0.609,"[-1.66, 0.741]",0.4518,0.5708,ns,223
Eosinophils abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.013,0.019,"[-0.051, 0.024]",0.4810,0.5772,ns,217
ESR (mm/h)†,"Refeeding duration (days), centered",-0.015,0.023,"[-0.061, 0.031]",0.5286,0.5929,ns,219
