term,estimate,std.error,statistic,p.value,conf.low,conf.high,phase,outcome,predictor,n_subjects,n_obs
fasting_duration_measured,-0.039771594363999206,0.013368819828448565,-2.97495178141051,0.0032126599426641183,-0.06609944680878779,-0.013443741919210613,fasting_T0T1,CRP (mg/l),logHOMA_T0,261,261
logHOMA_T0,-0.15613022781619826,0.06294349849614941,-2.480482203030859,0.013769009016167112,-0.2800878517523798,-0.03217260388001668,fasting_T0T1,CRP (mg/l),logHOMA_T0,261,261
sexM,-0.10740975200848196,0.11458887989823834,-0.9373488256789676,0.34946956103191074,-0.33307508077254877,0.11825557675558485,fasting_T0T1,CRP (mg/l),logHOMA_T0,261,261
AIP_T0,-0.01263980817213243,0.04814774199318707,-0.2625213073111709,0.7931375020484468,-0.10747042857898441,0.08219081223471954,fasting_T0T1,ESR (mm/h),AIP_T0,255,255
BMI_baseline,0.041239592203938955,0.008911233214101633,4.627820999980016,5.960313259683625e-6,0.02368824422166017,0.058790940186217736,fasting_T0T1,ESR (mm/h),AIP_T0,255,255
Y_T0,0.5301912089230705,0.04415384552732608,12.007815006621426,1.727379779611008e-26,0.4432268697584816,0.6171555480876594,fasting_T0T1,ESR (mm/h),AIP_T0,255,255
age,-0.0019180456251743883,0.0010650564475423714,-1.8008863563995112,0.07293562126497578,-0.004015754873991341,1.7966362364256407e-4,fasting_T0T1,ESR (mm/h),AIP_T0,255,255
fasting_duration_measured,-0.040096082171091736,0.009290597083953474,-4.315770214633982,2.2994750906564844e-5,-0.058394615995296086,-0.021797548346887387,fasting_T0T1,ESR (mm/h),AIP_T0,255,255
sexM,0.151262420928141,0.08954099629331601,1.6893091119138275,0.09241694885557807,-0.025095345372598582,0.32762018722888053,fasting_T0T1,ESR (mm/h),AIP_T0,255,255
BMI_baseline,0.042391500785215926,0.008633501634830074,4.910116726473555,1.6521932996955114e-6,0.025387166159713526,0.05939583541071833,fasting_T0T1,ESR (mm/h),TyG_T0,255,255
TyG_T0,-0.031834242758615766,0.043384600350624365,-0.7337682611188933,0.46378309519342353,-0.11728349535150366,0.05361500983427213,fasting_T0T1,ESR (mm/h),TyG_T0,255,255
Y_T0,0.5329147183092864,0.04427626682132773,12.036125820178299,1.3911268472875095e-26,0.44570926114454645,0.6201201754740263,fasting_T0T1,ESR (mm/h),TyG_T0,255,255
age,-0.0018835608351770814,0.0010620035898788157,-1.773591777963776,0.07735784819460975,-0.003975257249865909,2.0813557951174623e-4,fasting_T0T1,ESR (mm/h),TyG_T0,255,255
fasting_duration_measured,-0.0394726883459537,0.009325015837338262,-4.232988880072595,3.2497827309688195e-5,-0.05783901250885289,-0.02110636418305451,fasting_T0T1,ESR (mm/h),TyG_T0,255,255
sexM,0.15901790375928226,0.08429065695390046,1.886542465154246,0.06039014378221568,-0.0069989220052691925,0.3250347295238337,fasting_T0T1,ESR (mm/h),TyG_T0,255,255
BMI_baseline,0.04570433368472029,0.008847774539018277,5.165630462571835,4.925134628030148e-7,0.028277972363897046,0.06313069500554352,fasting_T0T1,ESR (mm/h),logHOMA_T0,255,255
Y_T0,0.5378575630966734,0.044204206210244346,12.167565243418503,5.083221293724911e-27,0.4507940347571088,0.6249210914362381,fasting_T0T1,ESR (mm/h),logHOMA_T0,255,255
age,-0.0017478417534063802,0.0010625074868769108,-1.6450159410583653,0.1012333836180725,-0.0038405306313545914,3.4484712454183096e-4,fasting_T0T1,ESR (mm/h),logHOMA_T0,255,255
fasting_duration_measured,-0.03937841645319641,0.009250340093528226,-4.256969587609709,2.9414950750919667e-5,-0.05759766108917094,-0.02115917181722188,fasting_T0T1,ESR (mm/h),logHOMA_T0,255,255
logHOMA_T0,-0.06624872967029463,0.043103731672685976,-1.5369604231337402,0.125577832361407,-0.15114479015324891,0.01864733081265965,fasting_T0T1,ESR (mm/h),logHOMA_T0,255,255
sexM,0.16224616071386294,0.08155307702380031,1.9894548021347287,0.047749488028504754,0.0016212057294922033,0.3228711156982337,fasting_T0T1,ESR (mm/h),logHOMA_T0,255,255
AIP_T0,0.045598233165161546,0.024173188153616482,1.886314410635145,0.06039336525830751,-0.0020071754644185244,0.09320364179474161,fasting_T0T1,Ferritin (µg/l),AIP_T0,261,261
BMI_baseline,-5.510380745578252e-4,0.004322956894805409,-0.12746786238372365,0.8986709636712985,-0.009064442601816406,0.007962366452700756,fasting_T0T1,Ferritin (µg/l),AIP_T0,261,261
Y_T0,0.7735397873679418,0.026112562954290448,29.623280898240772,2.2473508046997997e-84,0.7221150757450914,0.8249644989907923,fasting_T0T1,Ferritin (µg/l),AIP_T0,261,261
