Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Basophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",-0.005,0.004,"[-0.013, 0.004]",0.2988,0.3962,ns,247
Uric Acid (mg/dl),"Baseline BMI (kg/m²), centered",0.025,0.024,"[-0.023, 0.072]",0.3137,0.3962,ns,259
Eosinophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.005,0.006,"[-0.006, 0.017]",0.3752,0.4502,ns,252
LDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.308,0.389,"[-1.075, 0.459]",0.4294,0.4908,ns,259
Ferritin (µg/l)†,"Baseline BMI (kg/m²), centered",0.003,0.004,"[-0.005, 0.01]",0.5141,0.5608,ns,259
Serum Glucose (mg/dl),"Baseline BMI (kg/m²), centered",0.13,0.245,"[-0.353, 0.612]",0.5972,0.6232,ns,259
GFR (ml/min),"Baseline BMI (kg/m²), centered",-0.004,0.104,"[-0.21, 0.202]",0.9692,0.9692,ns,259
Immature Granulocytes abs. (Tsd./µl)†,"Age (years), centered",0.002,0.001,"[0.001, 0.004]",0.0011,0.0254,☆,212
Basophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.003]",0.0208,0.1668,ns,247
Platelets (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.0154,0.1668,ns,257
ESR (mm/h)†,"Age (years), centered",-0.002,0.001,"[-0.004, 0]",0.0722,0.2692,ns,253
GOT/AST (U/l)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.0817,0.2692,ns,256
Monocytes abs. (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.002]",0.0572,0.2692,ns,254
Non-HDL Cholesterol (mg/dl),"Age (years), centered",0.087,0.051,"[-0.014, 0.187]",0.0897,0.2692,ns,259
White Blood Cells (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.0825,0.2692,ns,257
CRP (mg/l)†,"Age (years), centered",-0.002,0.002,"[-0.005, 0.001]",0.1781,0.3446,ns,259
GFR (ml/min),"Age (years), centered",-0.019,0.014,"[-0.047, 0.009]",0.1867,0.3446,ns,259
LDL-C (mg/dl),"Age (years), centered",0.073,0.053,"[-0.03, 0.177]",0.1644,0.3446,ns,259
Total Cholesterol (mg/dl),"Age (years), centered",0.074,0.051,"[-0.026, 0.174]",0.1451,0.3446,ns,259
Triglycerides (mg/dl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.1531,0.3446,ns,259
Lymphocytes abs. (Tsd./µl)†,"Age (years), centered",0,0,"[0, 0.001]",0.2631,0.4210,ns,254
Neutrophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.2462,0.4210,ns,249
Alkaline Phosphatase (U/l),"Age (years), centered",0.016,0.016,"[-0.016, 0.048]",0.3171,0.4477,ns,259
GPT/ALT (U/l)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.002]",0.3164,0.4477,ns,258
Ferritin (µg/l)†,"Age (years), centered",0,0.001,"[-0.001, 0.001]",0.4901,0.6144,ns,259
