Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Platelets (Tsd./µl)†,Sex: Male (vs Female),-0.031,0.017,"[-0.064, 0.003]",0.0718,0.2539,ns,219
Uric Acid (mg/dl),Sex: Male (vs Female),0.401,0.201,"[0.005, 0.798]",0.0474,0.2539,ns,223
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.084,0.049,"[-0.179, 0.012]",0.0864,0.2592,ns,213
Insulin (mIU/l)†,Sex: Male (vs Female),0.169,0.102,"[-0.031, 0.369]",0.0977,0.2606,ns,223
CRP (mg/l)†,Sex: Male (vs Female),-0.123,0.084,"[-0.288, 0.042]",0.1437,0.3009,ns,223
Gamma-GT (U/l),Sex: Male (vs Female),-0.718,0.487,"[-1.678, 0.243]",0.1425,0.3009,ns,222
Lymphocytes abs. (Tsd./µl)†,Sex: Male (vs Female),-0.038,0.026,"[-0.09, 0.014]",0.1505,0.3009,ns,219
Ferritin (µg/l)†,Sex: Male (vs Female),0.027,0.022,"[-0.016, 0.071]",0.2190,0.3573,ns,223
GPT/ALT (U/l)†,Sex: Male (vs Female),0.033,0.027,"[-0.019, 0.086]",0.2146,0.3573,ns,223
Monocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.043,0.036,"[-0.027, 0.113]",0.2233,0.3573,ns,219
Alkaline Phosphatase (U/l),Sex: Male (vs Female),-0.32,0.7,"[-1.7, 1.059]",0.6476,0.7401,ns,223
Eosinophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.031,0.056,"[-0.079, 0.142]",0.5765,0.7401,ns,217
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.039,0.058,"[-0.076, 0.154]",0.5071,0.7401,ns,167
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.023,0.042,"[-0.06, 0.105]",0.5904,0.7401,ns,208
Serum Glucose (mg/dl),Sex: Male (vs Female),1.044,2.228,"[-3.348, 5.436]",0.6398,0.7401,ns,223
Triglycerides (mg/dl)†,Sex: Male (vs Female),-0.016,0.026,"[-0.067, 0.035]",0.5446,0.7401,ns,223
HDL-C (mg/dl),Sex: Male (vs Female),-0.132,0.519,"[-1.155, 0.891]",0.7994,0.8721,ns,223
ESR (mm/h)†,Sex: Male (vs Female),0.012,0.068,"[-0.122, 0.147]",0.8560,0.8932,ns,219
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),0.003,0.027,"[-0.05, 0.055]",0.9247,0.9247,ns,219
