Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Alkaline Phosphatase (U/l),"Age (years), centered",-0.003,0.031,"[-0.065, 0.059]",0.9223,0.9669,ns,223
Basophils abs. (Tsd./µl)†,"Age (years), centered",0,0.002,"[-0.004, 0.005]",0.9497,0.9669,ns,213
Platelets (Tsd./µl)†,"Age (years), centered",-0,0.001,"[-0.002, 0.001]",0.9669,0.9669,ns,219
LDL-C (mg/dl),Sex: Male (vs Female),-4.015,1.759,"[-7.482, -0.548]",0.0234,0.1902,ns,223
Non-HDL Cholesterol (mg/dl),Sex: Male (vs Female),-4.163,1.828,"[-7.767, -0.559]",0.0238,0.1902,ns,223
Total Cholesterol (mg/dl),Sex: Male (vs Female),-4.983,2.01,"[-8.945, -1.02]",0.0140,0.1902,ns,223
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.083,0.049,"[-0.179, 0.013]",0.0900,0.2700,ns,213
GFR (ml/min),Sex: Male (vs Female),-1.542,0.87,"[-3.256, 0.173]",0.0777,0.2700,ns,223
GOT/AST (U/l)†,Sex: Male (vs Female),0.054,0.029,"[-0.004, 0.111]",0.0688,0.2700,ns,221
Platelets (Tsd./µl)†,Sex: Male (vs Female),-0.03,0.017,"[-0.064, 0.003]",0.0766,0.2700,ns,219
Uric Acid (mg/dl),Sex: Male (vs Female),0.336,0.194,"[-0.046, 0.718]",0.0844,0.2700,ns,223
Insulin (mIU/l)†,Sex: Male (vs Female),0.163,0.101,"[-0.037, 0.362]",0.1098,0.2928,ns,223
Lymphocytes abs. (Tsd./µl)†,Sex: Male (vs Female),-0.038,0.026,"[-0.09, 0.014]",0.1510,0.3624,ns,219
CRP (mg/l)†,Sex: Male (vs Female),-0.109,0.082,"[-0.271, 0.052]",0.1848,0.3737,ns,223
Ferritin (µg/l)†,Sex: Male (vs Female),0.028,0.022,"[-0.015, 0.072]",0.1995,0.3737,ns,223
GPT/ALT (U/l)†,Sex: Male (vs Female),0.034,0.027,"[-0.019, 0.087]",0.2080,0.3737,ns,223
