Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Uric Acid (mg/dl),"Age (years), centered",0.003,0.003,"[-0.004, 0.009]",0.4468,0.5644,ns,266
LDL-C (mg/dl),"Age (years), centered",0.047,0.072,"[-0.095, 0.189]",0.5170,0.6203,ns,266
CRP (mg/l)†,"Age (years), centered",0.001,0.002,"[-0.003, 0.005]",0.6332,0.7236,ns,266
Insulin (mIU/l)†,"Age (years), centered",0.001,0.001,"[-0.002, 0.003]",0.6775,0.7391,ns,266
ESR (mm/h)†,"Age (years), centered",-0,0.001,"[-0.003, 0.002]",0.7146,0.7457,ns,265
Lymphocytes abs. (Tsd./µl)†,"Age (years), centered",0,0,"[-0.001, 0.001]",0.7487,0.7487,ns,265
Uric Acid (mg/dl),Sex: Male (vs Female),2.658,0.237,"[2.192, 3.124]",4.69e-24,1.13e-22,☆☆☆,266
Ferritin (µg/l)†,Sex: Male (vs Female),0.671,0.085,"[0.505, 0.838]",6.45e-14,7.74e-13,☆☆☆,266
HDL-C (mg/dl),Sex: Male (vs Female),-9.253,1.501,"[-12.207, -6.298]",2.63e-09,2.10e-08,☆☆☆,266
GFR (ml/min),Sex: Male (vs Female),-7.505,1.726,"[-10.903, -4.106]",1.97e-05,1.18e-04,☆☆☆,266
Platelets (Tsd./µl)†,Sex: Male (vs Female),-0.136,0.033,"[-0.2, -0.072]",4.10e-05,1.97e-04,☆☆☆,265
Insulin (mIU/l)†,Sex: Male (vs Female),0.241,0.076,"[0.091, 0.39]",0.0017,0.0070,☆☆,266
Monocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.103,0.036,"[0.032, 0.174]",0.0046,0.0159,☆,265
Lymphocytes abs. (Tsd./µl)†,Sex: Male (vs Female),-0.095,0.035,"[-0.164, -0.026]",0.0072,0.0217,☆,265
Total Cholesterol (mg/dl),Sex: Male (vs Female),-12.324,5.418,"[-22.992, -1.656]",0.0237,0.0633,ns,266
GOT/AST (U/l)†,Sex: Male (vs Female),0.11,0.051,"[0.01, 0.209]",0.0316,0.0759,ns,266
Eosinophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.159,0.081,"[0, 0.319]",0.0506,0.1103,ns,265
GPT/ALT (U/l)†,Sex: Male (vs Female),0.097,0.056,"[-0.014, 0.207]",0.0857,0.1713,ns,266
Alkaline Phosphatase (U/l),Sex: Male (vs Female),-3.536,2.358,"[-8.18, 1.108]",0.1350,0.2492,ns,266
Serum Glucose (mg/dl),Sex: Male (vs Female),3.045,2.09,"[-1.071, 7.161]",0.1464,0.2510,ns,266
Gamma-GT (U/l),Sex: Male (vs Female),2.35,1.878,"[-1.348, 6.049]",0.2120,0.3209,ns,265
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.056,0.045,"[-0.032, 0.144]",0.2140,0.3209,ns,263
CRP (mg/l)†,Sex: Male (vs Female),-0.153,0.138,"[-0.425, 0.12]",0.2708,0.3736,ns,266
Triglycerides (mg/dl)†,Sex: Male (vs Female),0.035,0.032,"[-0.029, 0.099]",0.2802,0.3736,ns,266
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.039,0.048,"[-0.056, 0.134]",0.4215,0.5324,ns,252
Non-HDL Cholesterol (mg/dl),Sex: Male (vs Female),-2.964,5.363,"[-13.525, 7.597]",0.5810,0.6761,ns,266
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),0.016,0.03,"[-0.044, 0.076]",0.5916,0.6761,ns,265
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.028,0.062,"[-0.149, 0.093]",0.6513,0.6797,ns,265
