Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Non-HDL Cholesterol (mg/dl),"Age (years), centered",0.09,0.053,"[-0.014, 0.193]",0.0891,0.3055,ns,259
White Blood Cells (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.0753,0.3055,ns,257
CRP (mg/l)†,"Age (years), centered",-0.002,0.002,"[-0.006, 0.001]",0.1258,0.3072,ns,259
ESR (mm/h)†,"Age (years), centered",-0.002,0.001,"[-0.004, 0.001]",0.1468,0.3072,ns,253
LDL-C (mg/dl),"Age (years), centered",0.077,0.054,"[-0.029, 0.183]",0.1536,0.3072,ns,259
Total Cholesterol (mg/dl),"Age (years), centered",0.074,0.052,"[-0.028, 0.176]",0.1529,0.3072,ns,259
Triglycerides (mg/dl)†,"Age (years), centered",0.001,0,"[0, 0.002]",0.1270,0.3072,ns,259
GFR (ml/min),"Age (years), centered",-0.019,0.014,"[-0.047, 0.009]",0.1829,0.3377,ns,259
Neutrophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.2391,0.4100,ns,249
GPT/ALT (U/l)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.002]",0.2894,0.4341,ns,258
Lymphocytes abs. (Tsd./µl)†,"Age (years), centered",0,0,"[0, 0.001]",0.2764,0.4341,ns,254
Alkaline Phosphatase (U/l),"Age (years), centered",0.016,0.016,"[-0.016, 0.048]",0.3226,0.4554,ns,259
HDL-C (mg/dl),"Age (years), centered",-0.01,0.012,"[-0.035, 0.015]",0.4265,0.5687,ns,259
Ferritin (µg/l)†,"Age (years), centered",0,0.001,"[-0.001, 0.001]",0.4917,0.5900,ns,259
Gamma-GT (U/l),"Age (years), centered",0.01,0.014,"[-0.018, 0.037]",0.4831,0.5900,ns,258
Eosinophils abs. (Tsd./µl)†,"Age (years), centered",0,0.001,"[-0.001, 0.002]",0.5750,0.6000,ns,252
Serum Glucose (mg/dl),"Age (years), centered",0.019,0.033,"[-0.046, 0.083]",0.5690,0.6000,ns,259
Uric Acid (mg/dl),"Age (years), centered",0.002,0.003,"[-0.004, 0.007]",0.5711,0.6000,ns,259
Insulin (mIU/l)†,"Age (years), centered",0.001,0.001,"[-0.002, 0.003]",0.6189,0.6189,ns,259
Uric Acid (mg/dl),Sex: Male (vs Female),1.401,0.276,"[0.858, 1.945]",7.42e-07,1.78e-05,☆☆☆,259
GFR (ml/min),Sex: Male (vs Female),-2.759,1.076,"[-4.878, -0.639]",0.0110,0.0845,ns,259
Insulin (mIU/l)†,Sex: Male (vs Female),0.241,0.097,"[0.05, 0.433]",0.0137,0.0845,ns,259
Lymphocytes abs. (Tsd./µl)†,Sex: Male (vs Female),-0.076,0.031,"[-0.136, -0.015]",0.0141,0.0845,ns,254
ESR (mm/h)†,Sex: Male (vs Female),0.172,0.081,"[0.012, 0.332]",0.0351,0.1404,ns,253
Non-HDL Cholesterol (mg/dl),Sex: Male (vs Female),-8.644,3.945,"[-16.414, -0.875]",0.0293,0.1404,ns,259
Ferritin (µg/l)†,Sex: Male (vs Female),0.089,0.044,"[0.003, 0.175]",0.0417,0.1428,ns,259
Eosinophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.115,0.059,"[-0.001, 0.231]",0.0513,0.1539,ns,252
Total Cholesterol (mg/dl),Sex: Male (vs Female),-6.845,3.896,"[-14.519, 0.828]",0.0802,0.2138,ns,259
CRP (mg/l)†,Sex: Male (vs Female),-0.169,0.116,"[-0.398, 0.06]",0.1467,0.3508,ns,259
Serum Glucose (mg/dl),Sex: Male (vs Female),3.414,2.427,"[-1.366, 8.194]",0.1608,0.3508,ns,259
GPT/ALT (U/l)†,Sex: Male (vs Female),-0.061,0.045,"[-0.149, 0.028]",0.1773,0.3545,ns,258
Gamma-GT (U/l),Sex: Male (vs Female),-1.07,1.059,"[-3.156, 1.016]",0.3133,0.5379,ns,258
LDL-C (mg/dl),Sex: Male (vs Female),-3.948,4.047,"[-11.919, 4.022]",0.3302,0.5379,ns,259
Triglycerides (mg/dl)†,Sex: Male (vs Female),-0.033,0.034,"[-0.1, 0.034]",0.3362,0.5379,ns,259
GOT/AST (U/l)†,Sex: Male (vs Female),0.03,0.045,"[-0.058, 0.118]",0.5015,0.7080,ns,256
Monocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.023,0.033,"[-0.042, 0.088]",0.4919,0.7080,ns,254
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.021,0.045,"[-0.068, 0.11]",0.6378,0.7778,ns,247
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.027,0.056,"[-0.082, 0.137]",0.6235,0.7778,ns,212
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),-0.013,0.028,"[-0.069, 0.043]",0.6482,0.7778,ns,257
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.01,0.043,"[-0.094, 0.075]",0.8222,0.9397,ns,249
Alkaline Phosphatase (U/l),Sex: Male (vs Female),0.149,1.235,"[-2.283, 2.581]",0.9041,0.9649,ns,259
HDL-C (mg/dl),Sex: Male (vs Female),0.1,1.06,"[-1.988, 2.188]",0.9247,0.9649,ns,259
Platelets (Tsd./µl)†,Sex: Male (vs Female),0.001,0.02,"[-0.04, 0.041]",0.9763,0.9763,ns,257
