term,estimate,std.error,statistic,p.value,conf.low,conf.high,phase,outcome,predictor,n_subjects,n_obs
sexM,0.02266430646689405,0.07659145437541914,0.2959116869070424,0.7675885461764789,-0.12831817928153982,0.17364679221532792,refeed_T1T2,ESR (mm/h),AIP_T0,219,219
BMI_baseline,0.01875007615603848,0.007612733530597212,2.4629886335411446,0.014579175147588044,0.003743318010982327,0.033756834301094635,refeed_T1T2,ESR (mm/h),AIP_T0,219,219
FR_duration,-0.019532592783766387,0.023217487204478474,-0.8412879745228717,0.4011390474300639,-0.06530054378496361,0.026235358217430844,refeed_T1T2,ESR (mm/h),AIP_T0,219,219
diet_ketoKeto,-0.0662257741094097,0.0765493028318344,-0.8651388276506748,0.38794513754618243,-0.21712516775728935,0.08467361953846993,refeed_T1T2,ESR (mm/h),AIP_T0,219,219
(Intercept),0.1309715893876467,0.273034961157206,0.479687981467827,0.6319461160164679,-0.4072542148865714,0.6691973936618647,refeed_T1T2,ESR (mm/h),logHOMA_T0,219,219
Y_T1,0.7363859624837384,0.04077077057208091,18.06161502839003,1.0638370828407238e-44,0.6560157392382135,0.8167561857292633,refeed_T1T2,ESR (mm/h),logHOMA_T0,219,219
logHOMA_T0,0.02205255146443281,0.0364911580485397,0.6043258872491525,0.5462762456669457,-0.04988139723697337,0.09398650016583898,refeed_T1T2,ESR (mm/h),logHOMA_T0,219,219
age,-0.004641587394452413,0.003139573357631448,-1.4784134230117536,0.1407883877438476,-0.010830536195467508,0.0015473614065626825,refeed_T1T2,ESR (mm/h),logHOMA_T0,219,219
sexM,0.0019188046277781078,0.06892589075173698,0.027838662755762102,0.9778171415592667,-0.13395278056387322,0.13779038981942943,refeed_T1T2,ESR (mm/h),logHOMA_T0,219,219
BMI_baseline,0.015076824611232179,0.007570226877471609,1.9915948168078828,0.047705149020377875,1.53858583744294e-4,0.02999979063872006,refeed_T1T2,ESR (mm/h),logHOMA_T0,219,219
FR_duration,-0.01968130936500823,0.023211205343879635,-0.8479227628821882,0.3974418134313341,-0.0654368771188044,0.026074258388787946,refeed_T1T2,ESR (mm/h),logHOMA_T0,219,219
diet_ketoKeto,-0.0678590935650286,0.07628942612318286,-0.8894953994732903,0.37474988651388796,-0.21824619988555172,0.08252801275549453,refeed_T1T2,ESR (mm/h),logHOMA_T0,219,219
(Intercept),0.054780397105121725,0.27113619681528417,0.20204014716058638,0.8400800001165525,-0.4797024287581022,0.5892632229683457,refeed_T1T2,ESR (mm/h),TyG_T0,219,219
