Phase,Outcome,Predictor,Term,Estimate,95% CI,P (raw),P (FDR),n_subjects,n_obs
refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,Baseline outcome (T1),0.467,"[0.372, 0.561]", 1.4e-18, 1.5e-18,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,Diet: Keto,0.046,"[-0.252, 0.343]",0.7615,0.8063,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,Refeeding duration,-0.128,"[-0.226, -0.03]",0.0104,0.0263,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,Sex: Male,-0.012,"[-0.289, 0.265]",0.9339,0.9778,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,"TyG (T0), z",0.2,"[0.057, 0.342]",0.0064,0.0384,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,Age,0.002,"[-0.011, 0.014]",0.8057,0.9447,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,BMI (baseline),0.007,"[-0.021, 0.034]",0.6421,0.9025,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,Baseline outcome (T1),0.467,"[0.371, 0.562]", 2.9e-18, 2.9e-18,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,Diet: Keto,0.079,"[-0.222, 0.379]",0.6063,0.6821,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,Refeeding duration,-0.127,"[-0.226, -0.029]",0.0117,0.0263,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,Sex: Male,0.078,"[-0.19, 0.346]",0.5668,0.9276,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),logHOMA_T0,"log(HOMA-IR) (T0), z",0.137,"[-0.007, 0.28]",0.0614,0.3683,208,208
refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,"AIP (T0), z",0.233,"[0.057, 0.409]",0.0096,0.0289,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,Age,0.004,"[-0.01, 0.017]",0.5919,0.9447,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,BMI (baseline),-0.002,"[-0.033, 0.03]",0.9025,0.9025,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,Baseline outcome (T1),0.562,"[0.47, 0.653]", 7.4e-26, 8.9e-26,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,Diet: Keto,-0.15,"[-0.48, 0.179]",0.3696,0.5957,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,Refeeding duration,-0.096,"[-0.197, 0.006]",0.0640,0.0960,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),AIP_T0,Sex: Male,-0.126,"[-0.456, 0.204]",0.4511,0.8119,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,Age,0.002,"[-0.012, 0.015]",0.8114,0.9447,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,BMI (baseline),0.004,"[-0.027, 0.035]",0.7995,0.9025,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,Baseline outcome (T1),0.565,"[0.473, 0.657]", 6.5e-26, 8.3e-26,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,Diet: Keto,-0.134,"[-0.465, 0.197]",0.4258,0.5957,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,Refeeding duration,-0.101,"[-0.203, 0.001]",0.0520,0.0859,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,Sex: Male,-0.023,"[-0.332, 0.285]",0.8824,0.9778,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),TyG_T0,"TyG (T0), z",0.172,"[0.014, 0.33]",0.0329,0.0744,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,Age,0.002,"[-0.012, 0.016]",0.7664,0.9447,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,BMI (baseline),0.006,"[-0.025, 0.038]",0.6868,0.9025,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,Baseline outcome (T1),0.57,"[0.478, 0.663]", 3.6e-26, 5.0e-26,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,Diet: Keto,-0.109,"[-0.441, 0.223]",0.5194,0.6233,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,Refeeding duration,-0.102,"[-0.204, 0.001]",0.0525,0.0859,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,Sex: Male,0.042,"[-0.258, 0.343]",0.7806,0.9778,219,219
refeed_T1T2,White Blood Cells (Tsd./µl),logHOMA_T0,"log(HOMA-IR) (T0), z",0.124,"[-0.036, 0.283]",0.1270,0.3809,219,219
