Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
LDL-C (mg/dl),Diet: Keto (vs Non-Keto),2.321,2.026,"[-1.672, 6.315]",0.2532,0.6751,ns,223
Non-HDL Cholesterol (mg/dl),Diet: Keto (vs Non-Keto),2.187,2.089,"[-1.929, 6.304]",0.2961,0.7106,ns,223
Immature Granulocytes abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.064,0.068,"[-0.198, 0.07]",0.3481,0.7564,ns,167
Total Cholesterol (mg/dl),Diet: Keto (vs Non-Keto),1.988,2.251,"[-2.449, 6.425]",0.3782,0.7564,ns,223
ESR (mm/h)†,Diet: Keto (vs Non-Keto),-0.057,0.076,"[-0.207, 0.093]",0.4541,0.8383,ns,219
Neutrophils abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.031,0.047,"[-0.063, 0.124]",0.5181,0.8881,ns,208
Eosinophils abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.019,0.064,"[-0.107, 0.144]",0.7692,0.9672,ns,217
GOT/AST (U/l)†,Diet: Keto (vs Non-Keto),-0.001,0.033,"[-0.067, 0.064]",0.9672,0.9672,ns,221
GPT/ALT (U/l)†,Diet: Keto (vs Non-Keto),0.005,0.03,"[-0.054, 0.064]",0.8712,0.9672,ns,223
Gamma-GT (U/l),Diet: Keto (vs Non-Keto),0.027,0.543,"[-1.044, 1.098]",0.9608,0.9672,ns,222
HDL-C (mg/dl),Diet: Keto (vs Non-Keto),-0.073,0.545,"[-1.148, 1.001]",0.8930,0.9672,ns,223
Insulin (mIU/l)†,Diet: Keto (vs Non-Keto),0.029,0.112,"[-0.192, 0.251]",0.7958,0.9672,ns,223
Lymphocytes abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.01,0.029,"[-0.068, 0.048]",0.7245,0.9672,ns,219
Monocytes abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.005,0.038,"[-0.071, 0.081]",0.9014,0.9672,ns,219
Serum Glucose (mg/dl),Diet: Keto (vs Non-Keto),-0.861,2.408,"[-5.608, 3.885]",0.7209,0.9672,ns,223
